Business Legal Name,Assumed Name(s),Street,City,Borough,Postcode,License Type,License Status,License Issue Date,License Expiration Date,Latitude,Longitude,Council District,Community Board,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location
"TERROIR TRIBECA, LLC",TERROIR TRIBECA,24 HARRISON STREET,NEW YORK,Manhattan,10013,Sidewalk,Issued,02/13/2026 03:37:42 PM,02/13/2030 11:59:59 PM,40.718766008443,-74.010032397316,1,101,1002082,1001810041,39,MN0102,POINT (-74.010032397316 40.718766008443)
"AMITY STREET, INC.",AMITY HALL,80 WEST    3 STREET,NEW YORK,Manhattan,10012,Roadway,Issued,07/18/2025 02:48:40 PM,07/18/2029 11:59:59 PM,40.729756486478,-73.998784078515,2,102,1008675,1005390020,65,MN0202,POINT (-73.998784078515 40.729756486478)
THE CRYSTAL ROOM LP,BLUE RIBBON BRASSERIE,97 SULLIVAN STREET,NEW YORK,Manhattan,10012,Roadway,Issued,07/18/2025 02:55:29 PM,07/18/2029 11:59:59 PM,40.725524021007,-74.003135217816,1,102,1007775,1005030001,49,MN0201,POINT (-74.003135217816 40.725524021007)
DMDD LLC,WALTER'S / KARASU,166 DEKALB AVENUE,BROOKLYN,Brooklyn,11217,Roadway,Issued,08/15/2025 04:10:23 PM,08/15/2029 11:59:59 PM,40.68961112153,-73.973273106546,35,302,3058963,3021010040,181,BK0203,POINT (-73.973273106546 40.68961112153)
SAMPA RESTAURANT LLC,BECO,45 RICHARDSON STREET,BROOKLYN,Brooklyn,11211,Roadway,Issued,05/16/2025 03:57:28 PM,05/16/2029 11:59:59 PM,40.718250765872,-73.950588749846,33,301,3322738,3027210033,515,BK0102,POINT (-73.950588749846 40.718250765872)
"QUALITY ROCKETS, INC.",HOTEL DELMANO,82 BERRY STREET,BROOKLYN,Brooklyn,11249,Roadway,Issued,11/21/2025 01:20:29 PM,11/21/2029 11:59:59 PM,40.719656265957,-73.957918199134,33,301,3061752,3023100023,557,BK0102,POINT (-73.957918199134 40.719656265957)
"1465 CDM, INC",THE GRAFTON PUBLIC HOUSE,126 1 AVENUE,NEW YORK,Manhattan,10009,Roadway,Issued,01/09/2026 01:38:50 PM,01/09/2030 11:59:59 PM,40.727304498751,-73.985485247847,2,103,1005817,1004350006,32,MN0303,POINT (-73.985485247847 40.727304498751)
415 THIRD AVENUE RESTAURANT GROUP LLC,FUMO,415 3 AVENUE,NEW YORK,Manhattan,10016,Sidewalk,Issued,02/06/2026 11:15:47 AM,02/06/2030 11:59:59 PM,40.742668922543,-73.980335770722,2,106,1019914,1009100001,7002,MN0603,POINT (-73.980335770722 40.742668922543)
BOLIVIAN LLAMA PARTY LLC,BOLIVIAN LLAMA PARTY,44-14 48 AVENUE,WOODSIDE,Queens,11377,Roadway,Issued,06/27/2025 07:51:03 PM,06/27/2029 11:59:59 PM,40.739481503076,-73.921090639282,26,402,4446397,4022880032,18501,QN0202,POINT (-73.921090639282 40.739481503076)
MAMAN NOMAD LLC,MAMAN,22 WEST   25 STREET,NEW YORK,Manhattan,10010,Roadway,Issued,02/13/2026 03:58:08 PM,02/13/2030 11:59:59 PM,40.743359104168,-73.98996388512,3,105,1015606,1008260056,58,MN0501,POINT (-73.98996388512 40.743359104168)
DM 58 LLC,ALL & SUNDRY,312 WEST   58 STREET,NEW YORK,Manhattan,10019,Roadway,Issued,03/06/2026 09:21:30 AM,03/06/2030 11:59:59 PM,40.767613714727,-73.98293489425,6,104,1026056,1010480041,139,MN0402,POINT (-73.98293489425 40.767613714727)
ROMI BAKERY INC,GIAN PIERO BAKERY,44-17 30 AVENUE,ASTORIA,Queens,11103,Sidewalk,Issued,10/09/2024 12:59:05 PM,10/09/2028 11:59:59 PM,40.762289027134,-73.911576837783,22,401,4012138,4007000042,147,QN0104,POINT (-73.911576837783 40.762289027134)
ALPHABET CITY GROUP LLC,MOTEL NO TELL,210 AVENUE A,NEW YORK,Manhattan,10009,Sidewalk,Issued,07/18/2025 03:22:37 PM,07/18/2029 11:59:59 PM,40.729812521522,-73.980772548624,2,103,1086159,1004077502,34,MN0303,POINT (-73.980772548624 40.729812521522)
TSG 89 CORP,MIDNIGHT EXPRESS DINER,1715 2 AVENUE,NEW YORK,Manhattan,10128,Roadway,Issued,06/06/2025 10:12:59 AM,06/06/2029 11:59:59 PM,40.779615352945,-73.950485266076,5,108,1048853,1015340029,14602,MN0803,POINT (-73.950485266076 40.779615352945)
FINGAL LLC,THE FIVE LAMPS,1586 YORK AVENUE,NEW YORK,Manhattan,10028,Roadway,Issued,10/24/2025 03:52:13 PM,10/24/2029 11:59:59 PM,40.774338955264,-73.94826513579,5,108,1051210,1015800052,13604,MN0803,POINT (-73.94826513579 40.774338955264)
"18 BEDFORD AVE., LLC.",FIVE LEAVES,18 BEDFORD AVENUE,BROOKLYN,Brooklyn,11222,Roadway,Issued,04/04/2025 04:22:59 PM,04/04/2029 11:59:59 PM,40.723576027725,-73.951555268496,33,301,3322677,3026450036,569,BK0101,POINT (-73.951555268496 40.723576027725)
MAMAMIA CORP,SPAGHETTI INCIDENT,231 ELDRIDGE STREET,NEW YORK,Manhattan,10002,Roadway,Issued,01/02/2026 03:03:26 PM,01/02/2030 11:59:59 PM,40.722323215915,-73.989840796629,1,103,1005625,1004220064,3601,MN0302,POINT (-73.989840796629 40.722323215915)
55 BOND STREET LLC,FISH CHEEKS,55 BOND STREET,NEW YORK,Manhattan,10012,Roadway,Issued,06/27/2025 08:01:56 PM,06/27/2029 11:59:59 PM,40.725899860012,-73.992629129726,2,102,1008437,1005290035,5502,MN0202,POINT (-73.992629129726 40.725899860012)
225 COLUMBUS RST. CORP,MANNY'S BISTRO,225 COLUMBUS AVENUE,NEW YORK,Manhattan,10023,Sidewalk,Issued,01/31/2025 02:43:09 PM,01/31/2029 11:59:59 PM,40.776289342252,-73.97959646179,6,107,1028540,1011230003,157,MN0701,POINT (-73.97959646179 40.776289342252)
211 RESERVE LLC,LOVEBIRDS,211 NASSAU AVENUE,BROOKLYN,Brooklyn,11222,Roadway,Issued,06/27/2025 08:06:00 PM,06/27/2029 11:59:59 PM,40.725650460351,-73.944172087238,33,301,3066503,3026550038,58901,BK0101,POINT (-73.944172087238 40.725650460351)
251 WEST 51 HOSPITALITY CORP,MCHALE'S BAR & GRILL,251 WEST   51 STREET,NEW YORK,Manhattan,10019,Roadway,Issued,08/15/2025 03:50:59 PM,08/15/2029 11:59:59 PM,40.762470273155,-73.984585920742,3,105,1024815,1010230005,131,MN0502,POINT (-73.984585920742 40.762470273155)
MUGATU INC,BAR BRUNO,560 MANHATTAN AVENUE,BROOKLYN,Brooklyn,11222,Sidewalk,Issued,03/07/2025 08:46:59 AM,03/07/2029 11:59:59 PM,40.722414321054,-73.94999399199,33,301,3066749,3026800031,569,BK0101,POINT (-73.94999399199 40.722414321054)
PAINT 367 LLC,BAR MADONNA,367 METROPOLITAN AVENUE,BROOKLYN,Brooklyn,11211,Sidewalk,Issued,10/17/2025 03:45:35 PM,10/17/2029 11:59:59 PM,40.714089070456,-73.955779036083,34,301,3062351,3023460025,519,BK0102,POINT (-73.955779036083 40.714089070456)
164 MULBERRY ST. CORP.,DA NICO RISTORANTE,164 MULBERRY STREET,NEW YORK,Manhattan,10013,Roadway,Issued,07/18/2025 03:07:08 PM,07/18/2029 11:59:59 PM,40.719823145948,-73.997092326151,1,102,1006974,1004710029,41,MN0201,POINT (-73.997092326151 40.719823145948)
MEZCALS OF 5 AVE REST. CORP,MEZCAL'S,223 5 AVENUE,BROOKLYN,Brooklyn,11215,Sidewalk,Issued,01/09/2026 01:45:59 PM,01/09/2030 11:59:59 PM,40.675861310029,-73.980817004063,39,306,3020108,3009560001,133,BK0602,POINT (-73.980817004063 40.675861310029)
B & D RESTAURANT GROUP INC,BAR BASIC,71 7 AVENUE,BROOKLYN,Brooklyn,11217,Roadway,Issued,06/18/2025 03:32:26 PM,06/18/2029 11:59:59 PM,40.675245339718,-73.974912003046,39,306,3024474,3010610002,159,BK0602,POINT (-73.974912003046 40.675245339718)
ARCHWAY ON WATER CORP,TOMMY'S BAR & BURGER,57B PEARL STREET,BROOKLYN,Brooklyn,11201,Roadway,Issued,10/24/2025 03:31:32 PM,10/24/2029 11:59:59 PM,40.703049225092,-73.987582391545,33,302,3000090,3000400001,21,BK0202,POINT (-73.987582391545 40.703049225092)
IACCAS CORP,OLD FASHION CAFE,110 THOMPSON STREET,NEW YORK,Manhattan,10012,Roadway,Issued,10/03/2025 01:36:02 PM,10/03/2029 11:59:59 PM,40.725680499116,-74.001941025501,1,102,1007729,1005020012,49,MN0201,POINT (-74.001941025501 40.725680499116)
"LINCOLN STATION, LLC",LINCOLN STATION,409 LINCOLN PLACE,BROOKLYN,Brooklyn,11238,Roadway,Issued,08/15/2025 03:46:11 PM,08/15/2029 11:59:59 PM,40.672546576908,-73.962490298999,35,308,3029545,3011770001,215,BK0801,POINT (-73.962490298999 40.672546576908)
SYNTHETIC BARLOGICS LLC,THE COMMISSIONER,247 5 AVENUE,BROOKLYN,Brooklyn,11215,Roadway,Issued,08/29/2025 01:51:32 PM,08/29/2029 11:59:59 PM,40.674911730117,-73.981502246707,39,306,3020434,3009620005,133,BK0602,POINT (-73.981502246707 40.674911730117)
OLI RESTAURANT INC,OTTAVA / SAINT EVE'S ,1123 8 AVENUE,BROOKLYN,Brooklyn,11215,Roadway,Issued,11/21/2025 01:25:12 PM,11/21/2029 11:59:59 PM,40.663970052574,-73.980525300829,39,306,3026308,3010970001,167,BK0602,POINT (-73.980525300829 40.663970052574)
41 STREET CAFE INC.,OSTERIA DELBIANCO BRYANT PARK,18 EAST   41 STREET,NEW YORK,Manhattan,10017,Roadway,Issued,07/18/2025 03:30:21 PM,07/18/2029 11:59:59 PM,40.752410100452,-73.980448381945,4,105,1035324,1012750061,82,MN0502,POINT (-73.980448381945 40.752410100452)
M&G 60TH STREET LLC,PICCOLA CUCINA UPTOWN,106 EAST   60 STREET,NEW YORK,Manhattan,10022,Roadway,Issued,10/24/2025 03:46:53 PM,10/24/2029 11:59:59 PM,40.763290489621,-73.968781590753,4,108,1041909,1013940169,11402,MN0802,POINT (-73.968781590753 40.763290489621)
"101 WEST 75 BAR & REST. ENTERPRISES, LTD",DIVE 75,101 WEST   75 STREET,NEW YORK,Manhattan,10023,Roadway,Issued,11/14/2025 12:38:26 PM,11/14/2029 11:59:59 PM,40.779511332867,-73.977710642448,6,107,1030136,1011470029,161,MN0702,POINT (-73.977710642448 40.779511332867)
"104 SOUTH 4TH, INC",KEG & LANTERN,104 SOUTH    4 STREET,BROOKLYN,Brooklyn,11249,Roadway,Issued,10/03/2025 01:30:43 PM,10/03/2029 11:59:59 PM,40.712211723586,-73.963824169856,34,301,3404065,3024430013,549,BK0102,POINT (-73.963824169856 40.712211723586)
E & E RESTAURANT 2 LLC,HILL AND BAY,581 2 AVENUE,NEW YORK,Manhattan,10016,Roadway,Issued,11/14/2025 12:43:46 PM,11/14/2029 11:59:59 PM,40.743332508221,-73.976867504059,2,106,1020054,1009120038,7002,MN0603,POINT (-73.976867504059 40.743332508221)
"SNBP, INC.",SIMPLE CAFE,346 BEDFORD AVENUE,BROOKLYN,Brooklyn,11249,Sidewalk,Issued,04/04/2025 04:34:21 PM,04/04/2029 11:59:59 PM,40.712428173941,-73.962619269061,34,301,3063248,3024300019,551,BK0102,POINT (-73.962619269061 40.712428173941)
B E F RESTAURANT INC,CASA D' ANGELO,146 MULBERRY STREET,NEW YORK,Manhattan,10013,Roadway,Issued,07/03/2025 01:15:39 PM,07/03/2029 11:59:59 PM,40.718859742332,-73.997510836423,1,102,1077452,1002370011,41,MN0201,POINT (-73.997510836423 40.718859742332)
POPUP BAGELS INC,POPUP BAGELS,177 THOMPSON STREET,NEW YORK,Manhattan,10012,Roadway,Issued,10/24/2025 03:47:38 PM,10/24/2029 11:59:59 PM,40.72780221957,-74.000205654256,2,102,1008250,1005257503,65,MN0202,POINT (-74.000205654256 40.72780221957)
GFLC MARKET LLC,GREENPOINT FISH & LOBSTER CO.,114 NASSAU AVENUE,BROOKLYN,Brooklyn,11222,Roadway,Issued,05/16/2025 04:00:44 PM,05/16/2029 11:59:59 PM,40.724280415005,-73.949202482845,33,301,3066776,3026810009,571,BK0101,POINT (-73.949202482845 40.724280415005)
"OPERATION CRAFT I, LLC",THE GREATS OF CRAFT,983 1 AVENUE,NEW YORK,Manhattan,10022,Roadway,Issued,02/13/2026 03:31:22 PM,02/13/2030 11:59:59 PM,40.756284590616,-73.964402931569,4,106,1071924,1013467503,98,MN0604,POINT (-73.964402931569 40.756284590616)
MURRAY 57 LLC,MONK MCGINNS,57 MURRAY STREET,NEW YORK,Manhattan,10007,Roadway,Issued,09/05/2025 01:18:27 PM,09/05/2029 11:59:59 PM,40.71421246245,-74.009746738044,1,101,1082029,1001330013,21,MN0102,POINT (-74.009746738044 40.71421246245)
WOGIE'S INC,WOGIES,39 GREENWICH AVENUE,NEW YORK,Manhattan,10014,Roadway,Issued,11/21/2025 01:28:56 PM,11/21/2029 11:59:59 PM,40.73539149439,-74.000422180686,3,102,1010896,1006120065,71,MN0203,POINT (-74.000422180686 40.73539149439)
LPB6 LLC,LA PECORA BIANCA,359 COLUMBUS AVENUE,NEW YORK,Manhattan,10024,Roadway,Issued,06/06/2025 10:06:10 AM,06/06/2029 11:59:59 PM,40.780534882409,-73.976489835309,6,107,1028823,1011290064,161,MN0702,POINT (-73.976489835309 40.780534882409)
THE ALCOVE RESTAURANT INC,THE ALCOVE,41-11 49 STREET,SUNNYSIDE,Queens,11104,Sidewalk,Issued,01/09/2026 01:47:52 PM,01/09/2030 11:59:59 PM,40.745919322558,-73.915283392457,26,402,4001158,4001340025,25301,QN0202,POINT (-73.915283392457 40.745919322558)
SEINFELD SQUARED LLC,DIVE 106,938 AMSTERDAM AVENUE,NEW YORK,Manhattan,10025,Roadway,Issued,02/06/2026 11:09:19 AM,02/06/2030 11:59:59 PM,40.800579800343,-73.965614432776,7,107,1056638,1018780030,195,MN0703,POINT (-73.965614432776 40.800579800343)
IL SOLE LLC,SOLELUNA,40-01 QUEENS BOULEVARD,SUNNYSIDE,Queens,11104,Roadway,Issued,03/06/2026 11:01:38 AM,03/06/2030 11:59:59 PM,40.743792823972,-73.92411693894,26,402,4002473,4001890005,18101,QN0202,POINT (-73.92411693894 40.743792823972)
DAI HACHI SUSHI CORPORATION,DAI HACHI,46-18 VERNON BOULEVARD,LONG ISLAND CITY,Queens,11101,Sidewalk,Issued,10/03/2025 01:24:53 PM,10/03/2029 11:59:59 PM,40.746330689918,-73.952906460589,26,402,4000036,4000270001,702,QN0201,POINT (-73.952906460589 40.746330689918)
ELSAYED III CORP,HORUS CAFE,293 EAST   10 STREET,NEW YORK,Manhattan,10009,Roadway,Issued,09/26/2025 12:39:37 PM,09/26/2029 11:59:59 PM,40.727699231169,-73.981873589705,2,103,1077612,1004040059,34,MN0303,POINT (-73.981873589705 40.727699231169)
RISE BAR NYC LLC,RISE BAR,859 9 AVENUE,NEW YORK,Manhattan,10019,Sidewalk,Issued,03/06/2026 10:57:28 AM,03/06/2030 11:59:59 PM,40.767100897914,-73.986314085955,6,104,1026849,1010650036,139,MN0402,POINT (-73.986314085955 40.767100897914)
"A SALT & BATTERY, LLC",A SALT & BATTERY,112 GREENWICH AVENUE,NEW YORK,Manhattan,10011,Roadway,Issued,07/03/2025 01:07:51 PM,07/03/2029 11:59:59 PM,40.738473843406,-74.002226475044,3,102,1011090,1006170036,77,MN0203,POINT (-74.002226475044 40.738473843406)
OLD TOWN BAR & RESTAURANT CORP.,OLD TOWN BAR,45 EAST   18 STREET,NEW YORK,Manhattan,10003,Roadway,Issued,01/02/2026 01:44:10 PM,01/02/2030 11:59:59 PM,40.73759507351,-73.989647208522,2,105,1016150,1008470034,52,MN0501,POINT (-73.989647208522 40.73759507351)
FULL-JEEP CORP,PECULIAR PUB,145 BLEECKER STREET,NEW YORK,Manhattan,10012,Roadway,Issued,08/15/2025 03:59:49 PM,08/15/2029 11:59:59 PM,40.728170015273,-73.999155730482,2,102,1008647,1005370034,65,MN0202,POINT (-73.999155730482 40.728170015273)
JUST AN OVEN CORP,LIL FRANKIE'S PIZZA,19 1 AVENUE,NEW YORK,Manhattan,10003,Roadway,Issued,01/23/2026 12:12:42 PM,01/23/2030 11:59:59 PM,40.723467636191,-73.988292903674,2,103,1006096,1004430036,3602,MN0303,POINT (-73.988292903674 40.723467636191)
CROSSTOWN DINER AND RESTAURANT INC,CROSSTOWN DINER,2880 BRUCKNER BOULEVARD,BRONX,Bronx,10465,Roadway,Issued,08/15/2025 03:30:09 PM,08/15/2029 11:59:59 PM,40.832633846654,-73.828686348646,13,210,2079382,2055310001,166,BX1002,POINT (-73.828686348646 40.832633846654)
SONNY LOU INC,PEPE GIALLO,195 10 AVENUE,NEW YORK,Manhattan,10011,Sidewalk,Issued,12/12/2025 03:36:25 PM,12/12/2029 11:59:59 PM,40.746762945523,-74.004850496297,3,104,1012313,1006930036,9901,MN0401,POINT (-74.004850496297 40.746762945523)
"VIRGILIA CAFE, INC.",ANTONUCCI,168 EAST   81 STREET,NEW YORK,Manhattan,10028,Roadway,Issued,05/02/2025 02:10:56 PM,05/02/2029 11:59:59 PM,40.775904359811,-73.957091798192,4,108,1047527,1015090041,14,MN0802,POINT (-73.957091798192 40.775904359811)
202 W. 49TH PUB INC.,PLAYWRIGHT CELTIC PUB,202 WEST   49 STREET,NEW YORK,Manhattan,10019,Roadway,Issued,01/02/2026 01:45:15 PM,01/02/2030 11:59:59 PM,40.760551605711,-73.983990757676,3,105,1024786,1010200136,125,MN0502,POINT (-73.983990757676 40.760551605711)
SOHOGOZO LLC,DIASPORA,91 BAXTER STREET,NEW YORK,Manhattan,10013,Roadway,Issued,12/20/2024 10:14:38 AM,12/20/2028 11:59:59 PM,40.71695764462,-73.999660906271,1,103,1083368,1001990007,2902,MN0301,POINT (-73.999660906271 40.71695764462)
74 W PIZZA CORP.,PATSY'S PIZZERIA,61 WEST   74 STREET,NEW YORK,Manhattan,10023,Roadway,Issued,09/12/2025 03:43:39 PM,09/12/2029 11:59:59 PM,40.778223828694,-73.976631472177,6,107,1028692,1011270001,161,MN0702,POINT (-73.976631472177 40.778223828694)
PAESANO REST. CORP.,PAESANO'S,136 MULBERRY STREET,NEW YORK,Manhattan,10013,Roadway,Issued,01/02/2026 03:00:49 PM,01/02/2030 11:59:59 PM,40.718519394966,-73.997694829896,1,102,1066508,1002377501,41,MN0201,POINT (-73.997694829896 40.718519394966)
"JELA, LLC",AL DI LA TRATTORIA,248 5 AVENUE,BROOKLYN,Brooklyn,11215,Roadway,Issued,08/22/2025 03:04:01 PM,08/22/2029 11:59:59 PM,40.675238321002,-73.981271428422,39,306,3020256,3009580050,133,BK0602,POINT (-73.981271428422 40.675238321002)
TALEA BEER INC.,TALEA BEER CO.,61 BERGEN STREET,BROOKLYN,Brooklyn,11201,Roadway,Issued,03/07/2025 08:49:34 AM,03/07/2029 11:59:59 PM,40.686959690952,-73.991043314572,33,302,3001232,3001930034,43,BK0202,POINT (-73.991043314572 40.686959690952)
ZIA MARIA LITTLE ITALY INC,ZIA MARIA LITTLE ITALY,138 MULBERRY STREET,NEW YORK,Manhattan,10013,Roadway,Issued,11/21/2025 01:29:55 PM,11/21/2029 11:59:59 PM,40.718588013358,-73.997655145358,1,102,1066508,1002377501,41,MN0201,POINT (-73.997655145358 40.718588013358)
BIROTE CORPORATION,EL MITOTE,208 COLUMBUS AVENUE,NEW YORK,Manhattan,10023,Roadway,Issued,05/16/2025 03:59:00 PM,05/16/2029 11:59:59 PM,40.775792610354,-73.979986557182,6,107,1029648,1011410032,15302,MN0701,POINT (-73.979986557182 40.775792610354)
"ANDREAS WV, LLC",DA ANDREA,35 WEST   13 STREET,NEW YORK,Manhattan,10011,Roadway,Issued,08/15/2025 03:31:38 PM,08/15/2029 11:59:59 PM,40.73584703304,-73.995381239429,2,102,1009713,1005770019,63,MN0202,POINT (-73.995381239429 40.73584703304)
SNG NEW CAPPUCCINO INC.,OCEAN VIEW CAFE,290 BRIGHTON BEACH AVENUE,BROOKLYN,Brooklyn,11235,Sidewalk,Issued,03/06/2026 10:48:39 AM,03/06/2030 11:59:59 PM,40.576940905098,-73.964480884059,48,313,3245055,3086850008,36001,BK1303,POINT (-73.964480884059 40.576940905098)
FORK & CORK LLC,BAR VIVANT,164 EAST   88 STREET,NEW YORK,Manhattan,10128,Roadway,Issued,01/02/2026 02:49:53 PM,01/02/2030 11:59:59 PM,40.780511598308,-73.953983498093,5,108,1048061,1015160046,14802,MN0802,POINT (-73.953983498093 40.780511598308)
"BUNNA, LLC",BUNNA CAFE,1084 FLUSHING AVENUE,BROOKLYN,Brooklyn,11237,Roadway,Issued,01/02/2026 02:51:37 PM,01/02/2030 11:59:59 PM,40.705050090133,-73.927843686477,34,304,3071993,3031590015,427,BK0401,POINT (-73.927843686477 40.705050090133)
"BERRY 212, CORP",THE LEVEE,212 BERRY STREET,BROOKLYN,Brooklyn,11249,Sidewalk,Issued,04/11/2025 02:05:23 PM,04/11/2029 11:59:59 PM,40.716103127468,-73.961733403225,34,301,3062400,3023580018,555,BK0102,POINT (-73.961733403225 40.716103127468)
SAMMY'S S.B. REST CORP,SAMMY'S ORIGINAL SHRIMP BOX,64 CITY ISLAND AVENUE,BRONX,Bronx,10464,Sidewalk,Issued,11/04/2024 02:57:38 PM,11/04/2028 11:59:59 PM,40.83959260883,-73.783629888446,13,210,2082404,2056380011,51601,BX1003,POINT (-73.783629888446 40.83959260883)
LPB4 LLC,LA PECORA BIANCA,265 LAFAYETTE STREET,NEW YORK,Manhattan,10012,Roadway,Issued,05/23/2025 12:00:48 PM,05/23/2029 11:59:59 PM,40.723525823099,-73.996590688538,1,102,1007524,1004950011,43,MN0201,POINT (-73.996590688538 40.723525823099)
PIZZERIA  FUCCIO  INC.,LITTLE PIZZA PARLOR,192 DUFFIELD STREET,BROOKLYN,Brooklyn,11201,Sidewalk,Issued,12/19/2025 10:53:08 AM,12/19/2029 11:59:59 PM,40.692599479261,-73.984328075572,33,302,3058227,3020580046,1502,BK0202,POINT (-73.984328075572 40.692599479261)
TRADITA CORP,CKA KA QELLU,2321 HUGHES AVENUE,BRONX,Bronx,10458,Sidewalk,Issued,02/13/2026 03:31:16 PM,02/13/2030 11:59:59 PM,40.853808561184,-73.888037810481,15,206,2012130,2030730028,391,BX0603,POINT (-73.888037810481 40.853808561184)
8522 JAMAICA AVENUE CORP,POP'S RESTAURANT,85-22 JAMAICA AVENUE,WOODHAVEN,Queens,11421,Sidewalk,Issued,08/08/2025 02:53:14 PM,08/08/2029 11:59:59 PM,40.692519099934,-73.858812153935,32,409,4183851,4089220010,1,QN0905,POINT (-73.858812153935 40.692519099934)
CRISPY DUCK AND NICE WINE LLC,TOLO,28 CANAL STREET,NEW YORK,Manhattan,10002,Sidewalk,Issued,02/20/2026 03:14:26 PM,02/20/2030 11:59:59 PM,40.714459509526,-73.99046605311,1,103,1003600,1002830074,6,MN0301,POINT (-73.99046605311 40.714459509526)
217 W85 LLC,ELEA,217 WEST   85 STREET,NEW YORK,Manhattan,10024,Sidewalk,Issued,12/12/2025 03:32:46 PM,12/12/2029 11:59:59 PM,40.787297893391,-73.976202152711,6,107,1033133,1012330016,171,MN0702,POINT (-73.976202152711 40.787297893391)
THE 709 LORIMER ST. RESTAURANT CORP,PETE'S CANDY STORE,709 LORIMER STREET,BROOKLYN,Brooklyn,11211,Roadway,Issued,02/13/2026 03:50:34 PM,02/13/2030 11:59:59 PM,40.718096822912,-73.950044140585,33,301,3068038,3027310025,515,BK0102,POINT (-73.950044140585 40.718096822912)
SUNDAY IN BROOKLYN LLC,SUNDAY IN BROOKLYN,348 WYTHE AVENUE,BROOKLYN,Brooklyn,11249,Roadway,Issued,01/31/2025 02:40:05 PM,01/31/2029 11:59:59 PM,40.71416368276,-73.965208282135,33,301,3321284,3024150026,551,BK0102,POINT (-73.965208282135 40.71416368276)
"CASTLEKNOCK, INC",THE MEAN FIDDLER,266 WEST   47 STREET,NEW YORK,Manhattan,10036,Roadway,Issued,01/02/2026 03:04:12 PM,01/02/2030 11:59:59 PM,40.760002983368,-73.98655740127,3,105,1024748,1010180061,125,MN0502,POINT (-73.98655740127 40.760002983368)
SEQUOIA TREE LLC,LE MOULIN A CAFE,1439 YORK AVENUE,NEW YORK,Manhattan,10075,Sidewalk,Issued,03/24/2025 04:17:21 PM,03/24/2029 11:59:59 PM,40.769699059978,-73.951676828726,5,108,1045959,1014710024,13203,MN0801,POINT (-73.951676828726 40.769699059978)
MIM UNITED INC,MARSANNE NYC,233 8 AVENUE,NEW YORK,Manhattan,10011,Sidewalk,Issued,01/16/2026 01:11:01 PM,01/16/2030 11:59:59 PM,40.744484892006,-73.99908334541,3,104,1013310,1007450040,89,MN0401,POINT (-73.99908334541 40.744484892006)
GUMBULL LLC,THE DEAD POET,450 AMSTERDAM AVENUE,NEW YORK,Manhattan,10024,Roadway,Issued,09/12/2025 03:44:24 PM,09/12/2029 11:59:59 PM,40.784852500266,-73.977091354051,6,107,1032685,1012290034,167,MN0702,POINT (-73.977091354051 40.784852500266)
49TH STREET PIZZA CORP.,FAMOUS RAY'S PIZZA,736 7 AVENUE,NEW YORK,Manhattan,10019,Sidewalk,Issued,01/09/2026 01:41:30 PM,01/09/2030 11:59:59 PM,40.760266134671,-73.983875315042,3,105,1024777,1010200035,125,MN0502,POINT (-73.983875315042 40.760266134671)
PARK AVE CAKE LLC,L'EXPRESS,249 PARK AVENUE SOUTH,NEW YORK,Manhattan,10003,Roadway,Issued,08/15/2025 03:42:37 PM,08/15/2029 11:59:59 PM,40.738215208485,-73.987799541633,2,105,1017945,1008750079,5,MN0602,POINT (-73.987799541633 40.738215208485)
HBM UWS LLC,MIRIAM,300 AMSTERDAM AVENUE,NEW YORK,Manhattan,10023,Sidewalk,Issued,11/21/2025 01:23:23 PM,11/21/2029 11:59:59 PM,40.780189793146,-73.980490745124,6,107,1030741,1011667501,163,MN0702,POINT (-73.980490745124 40.780189793146)
"BROOME STREET BAR, INC.",KENN'S BROOME STREET BAR,363 WEST BROADWAY,NEW YORK,Manhattan,10013,Roadway,Issued,06/27/2025 07:54:54 PM,06/27/2029 11:59:59 PM,40.723116860955,-74.003124280993,1,102,1007063,1004750012,47,MN0201,POINT (-74.003124280993 40.723116860955)
FRANKLIN HOSPITALITY GROUP LLC,GOLDA,504 FRANKLIN AVENUE,BROOKLYN,Brooklyn,11238,Sidewalk,Issued,10/24/2025 03:35:28 PM,10/24/2029 11:59:59 PM,40.681445479141,-73.955743078897,36,303,3057387,3019970040,227,BK0301,POINT (-73.955743078897 40.681445479141)
SILENTH LLC,CAFE COLETTE,79 BERRY STREET,BROOKLYN,Brooklyn,11249,Roadway,Issued,01/02/2026 01:51:57 PM,01/02/2030 11:59:59 PM,40.719859287133,-73.957669150317,33,301,3061662,3023040001,517,BK0102,POINT (-73.957669150317 40.719859287133)
BROADWAY DESSERTS LTD.,FRENCH ROAST,2340 BROADWAY,NEW YORK,Manhattan,10024,Roadway,Issued,08/22/2025 03:14:39 PM,08/22/2029 11:59:59 PM,40.78767958083,-73.977021764246,6,107,1033133,1012330016,171,MN0702,POINT (-73.977021764246 40.78767958083)
GAMMA THOMPSON CORP,BLUE HAVEN,108 WEST HOUSTON STREET,NEW YORK,Manhattan,10012,Sidewalk,Issued,02/13/2026 03:13:01 PM,02/13/2030 11:59:59 PM,40.727343841457,-74.000739628621,2,102,1008252,1005250025,65,MN0202,POINT (-74.000739628621 40.727343841457)
